Date,DateTime,Open,High,Low,Close,Volume,Date
2023-03-10,2023-03-10 09:30:00,0.8,0.8389,0.777,0.7812,3937.57,2023-03-10
2023-03-10,2023-03-10 10:00:00,0.7812,0.7949,0.7601,0.7737,3668.46,2023-03-10
2023-03-10,2023-03-10 10:30:00,0.7706,0.7945,0.762,0.79,1638.41,2023-03-10
2023-03-10,2023-03-10 11:00:00,0.7899,0.79,0.7701,0.78,760.56,2023-03-10
2023-03-10,2023-03-10 11:30:00,0.7763,0.7944,0.7763,0.7801,1070.3,2023-03-10
2023-03-10,2023-03-10 12:00:00,0.7801,0.7899,0.771,0.771,1261.73,2023-03-10
2023-03-10,2023-03-10 12:30:00,0.771,0.7744,0.769,0.771,997.98,2023-03-10
2023-03-10,2023-03-10 13:00:00,0.7715,0.7715,0.762,0.769,483.63,2023-03-10
2023-03-10,2023-03-10 13:30:00,0.769,0.7839,0.762,0.77,978.58,2023-03-10
2023-03-10,2023-03-10 14:00:00,0.77,0.7749,0.759,0.7611,994.67,2023-03-10
2023-03-10,2023-03-10 14:30:00,0.762,0.7699,0.75,0.76,1617.82,2023-03-10
2023-03-10,2023-03-10 15:00:00,0.76,0.77,0.7501,0.7595,1555.65,2023-03-10
2023-03-10,2023-03-10 15:30:00,0.7578,0.835,0.7502,0.826,3202.0,2023-03-10
2023-03-13,2023-03-13 08:30:00,0.77,0.79,0.7,0.7559,3751.28,2023-03-13
2023-03-13,2023-03-13 09:00:00,0.7509,0.7618,0.74,0.7451,654.88,2023-03-13
2023-03-13,2023-03-13 09:30:00,0.745,0.7581,0.74,0.7465,1113.91,2023-03-13
2023-03-13,2023-03-13 10:00:00,0.7425,0.7625,0.74,0.7552,849.08,2023-03-13
2023-03-13,2023-03-13 10:30:00,0.7586,0.762,0.74,0.7475,1142.94,2023-03-13
2023-03-13,2023-03-13 11:00:00,0.745,0.7609,0.745,0.7551,465.84,2023-03-13
2023-03-13,2023-03-13 11:30:00,0.755,0.76,0.735,0.735,570.04,2023-03-13
2023-03-13,2023-03-13 12:00:00,0.737,0.7499,0.735,0.74,774.22,2023-03-13
2023-03-13,2023-03-13 12:30:00,0.738,0.7527,0.735,0.7513,244.57,2023-03-13
2023-03-13,2023-03-13 13:00:00,0.7526,0.762,0.75,0.7551,287.08,2023-03-13
2023-03-13,2023-03-13 13:30:00,0.762,0.7654,0.762,0.7648,768.04,2023-03-13
2023-03-13,2023-03-13 14:00:00,0.7648,0.7748,0.751,0.751,876.58,2023-03-13
2023-03-13,2023-03-13 14:30:00,0.7559,0.789,0.75,0.78,1292.05,2023-03-13
2023-03-14,2023-03-14 08:30:00,0.76,0.7869,0.757,0.7611,1271.38,2023-03-14
2023-03-14,2023-03-14 09:00:00,0.7614,0.7785,0.761,0.77,597.06,2023-03-14
2023-03-14,2023-03-14 09:30:00,0.7709,0.78,0.765,0.7701,535.18,2023-03-14
2023-03-14,2023-03-14 10:00:00,0.7701,0.7701,0.75,0.75,863.52,2023-03-14
2023-03-14,2023-03-14 10:30:00,0.751,0.77,0.75,0.76,1069.09,2023-03-14
2023-03-14,2023-03-14 11:00:00,0.7649,0.765,0.76,0.76,713.46,2023-03-14
2023-03-14,2023-03-14 11:30:00,0.7601,0.7701,0.7543,0.7698,257.59,2023-03-14
2023-03-14,2023-03-14 12:00:00,0.76,0.7704,0.7514,0.7697,664.34,2023-03-14
2023-03-14,2023-03-14 12:30:00,0.76,0.76,0.7522,0.7591,474.7,2023-03-14
2023-03-14,2023-03-14 13:00:00,0.76,0.76,0.7523,0.7523,1656.98,2023-03-14
2023-03-14,2023-03-14 13:30:00,0.753,0.7696,0.7523,0.7677,135.75,2023-03-14
2023-03-14,2023-03-14 14:00:00,0.7648,0.783,0.76,0.7705,696.98,2023-03-14
2023-03-14,2023-03-14 14:30:00,0.7706,0.7798,0.7501,0.7587,1193.31,2023-03-14
2023-03-15,2023-03-15 08:30:00,0.82,0.827,0.756,0.825,10305.3,2023-03-15
2023-03-15,2023-03-15 09:00:00,0.815,0.825,0.7801,0.8068,5761.36,2023-03-15
2023-03-15,2023-03-15 09:30:00,0.8,0.8179,0.786,0.79,2496.15,2023-03-15
2023-03-15,2023-03-15 10:00:00,0.7899,0.795,0.78,0.7897,1576.17,2023-03-15
2023-03-15,2023-03-15 10:30:00,0.7861,0.8,0.78,0.789,1135.92,2023-03-15
2023-03-15,2023-03-15 11:00:00,0.795,0.795,0.7659,0.7701,2055.23,2023-03-15
2023-03-15,2023-03-15 11:30:00,0.7701,0.7837,0.7654,0.7836,1480.85,2023-03-15
2023-03-15,2023-03-15 12:00:00,0.7745,0.7834,0.77,0.782,611.94,2023-03-15
2023-03-15,2023-03-15 12:30:00,0.7807,0.7833,0.762,0.7653,1657.26,2023-03-15
2023-03-15,2023-03-15 13:00:00,0.7653,0.7749,0.76,0.7602,1305.71,2023-03-15
2023-03-15,2023-03-15 13:30:00,0.7649,0.77,0.7533,0.7651,1502.41,2023-03-15
2023-03-15,2023-03-15 14:00:00,0.765,0.77,0.7601,0.765,670.67,2023-03-15
2023-03-15,2023-03-15 14:30:00,0.7643,0.7748,0.72,0.7401,4483.81,2023-03-15
2023-03-16,2023-03-16 08:30:00,0.7269,0.7298,0.7002,0.71,3229.99,2023-03-16
2023-03-16,2023-03-16 09:00:00,0.71,0.7189,0.7,0.7,2351.68,2023-03-16
2023-03-16,2023-03-16 09:30:00,0.699,0.7138,0.69,0.7025,3069.29,2023-03-16
2023-03-16,2023-03-16 10:00:00,0.7025,0.73,0.692,0.7,1795.78,2023-03-16
2023-03-16,2023-03-16 10:30:00,0.7086,0.7182,0.6921,0.6933,1329.87,2023-03-16
2023-03-16,2023-03-16 11:00:00,0.7097,0.72,0.6802,0.72,1250.2,2023-03-16
2023-03-16,2023-03-16 11:30:00,0.7249,0.7259,0.7008,0.713,591.89,2023-03-16
2023-03-16,2023-03-16 12:00:00,0.714,0.7257,0.7101,0.7253,574.87,2023-03-16
2023-03-16,2023-03-16 12:30:00,0.725,0.7366,0.72,0.722,1107.86,2023-03-16
2023-03-16,2023-03-16 13:00:00,0.7322,0.7322,0.7109,0.72,390.86,2023-03-16
2023-03-16,2023-03-16 13:30:00,0.725,0.745,0.725,0.7387,1148.98,2023-03-16
2023-03-16,2023-03-16 14:00:00,0.742,0.758,0.739,0.758,1574.97,2023-03-16
2023-03-16,2023-03-16 14:30:00,0.76,0.78,0.74,0.75,2173.3,2023-03-16
2023-03-17,2023-03-17 08:30:00,0.7294,0.745,0.702,0.7147,1670.17,2023-03-17
2023-03-17,2023-03-17 09:00:00,0.7223,0.7298,0.705,0.7198,556.68,2023-03-17
2023-03-17,2023-03-17 09:30:00,0.7151,0.7449,0.705,0.74,1820.22,2023-03-17
2023-03-17,2023-03-17 10:00:00,0.73,0.74,0.73,0.7327,503.28,2023-03-17
2023-03-17,2023-03-17 10:30:00,0.7323,0.7348,0.7129,0.7299,214.31,2023-03-17
2023-03-17,2023-03-17 11:00:00,0.7298,0.7299,0.713,0.7201,363.99,2023-03-17
2023-03-17,2023-03-17 11:30:00,0.725,0.7298,0.7129,0.7129,732.65,2023-03-17
2023-03-17,2023-03-17 12:00:00,0.7129,0.74,0.7071,0.7255,1687.5,2023-03-17
2023-03-17,2023-03-17 12:30:00,0.7201,0.7265,0.71,0.71,332.15,2023-03-17
2023-03-17,2023-03-17 13:00:00,0.715,0.7399,0.71,0.73,1733.84,2023-03-17
2023-03-17,2023-03-17 13:30:00,0.73,0.7385,0.72,0.7242,251.63,2023-03-17
2023-03-17,2023-03-17 14:00:00,0.72,0.7285,0.715,0.715,636.26,2023-03-17
2023-03-17,2023-03-17 14:30:00,0.715,0.73,0.71,0.72,1341.94,2023-03-17
2023-03-20,2023-03-20 08:30:00,0.76,0.76,0.73,0.7425,2970.26,2023-03-20
2023-03-20,2023-03-20 09:00:00,0.7459,0.7797,0.7381,0.7677,2762.96,2023-03-20
2023-03-20,2023-03-20 09:30:00,0.7678,0.7731,0.76,0.7621,1259.06,2023-03-20
2023-03-20,2023-03-20 10:00:00,0.7603,0.7603,0.7313,0.75,736.16,2023-03-20
2023-03-20,2023-03-20 10:30:00,0.7546,0.7699,0.732,0.732,1459.47,2023-03-20
2023-03-20,2023-03-20 11:00:00,0.7321,0.7549,0.7125,0.7142,1434.83,2023-03-20
2023-03-20,2023-03-20 11:30:00,0.7142,0.724,0.7142,0.7199,363.82,2023-03-20
2023-03-20,2023-03-20 12:00:00,0.7155,0.7449,0.71,0.73,1332.19,2023-03-20
2023-03-20,2023-03-20 12:30:00,0.73,0.7337,0.7178,0.722,352.55,2023-03-20
2023-03-20,2023-03-20 13:00:00,0.722,0.73,0.7178,0.7258,613.62,2023-03-20
2023-03-20,2023-03-20 13:30:00,0.72,0.7276,0.7178,0.7276,657.23,2023-03-20
2023-03-20,2023-03-20 14:00:00,0.7256,0.74,0.7173,0.72,2006.36,2023-03-20
2023-03-20,2023-03-20 14:30:00,0.72,0.74,0.7,0.7051,6397.91,2023-03-20
2023-03-21,2023-03-21 08:30:00,0.714,0.7158,0.6705,0.695,5306.69,2023-03-21
2023-03-21,2023-03-21 09:00:00,0.6973,0.6999,0.675,0.6949,4332.01,2023-03-21
2023-03-21,2023-03-21 09:30:00,0.695,0.7199,0.6905,0.7001,1508.78,2023-03-21
2023-03-21,2023-03-21 10:00:00,0.71,0.7199,0.7,0.7075,1780.16,2023-03-21
2023-03-21,2023-03-21 10:30:00,0.7187,0.724,0.7075,0.724,305.11,2023-03-21
2023-03-21,2023-03-21 11:00:00,0.7141,0.73,0.7141,0.715,841.01,2023-03-21
2023-03-21,2023-03-21 11:30:00,0.728,0.7283,0.7142,0.725,150.98,2023-03-21
2023-03-21,2023-03-21 12:00:00,0.7225,0.725,0.7001,0.7124,979.04,2023-03-21
2023-03-21,2023-03-21 12:30:00,0.7118,0.7148,0.7,0.7075,559.96,2023-03-21
2023-03-21,2023-03-21 13:00:00,0.7099,0.7197,0.7,0.7197,325.91,2023-03-21
2023-03-21,2023-03-21 13:30:00,0.7103,0.7197,0.6942,0.702,1510.08,2023-03-21
2023-03-21,2023-03-21 14:00:00,0.7099,0.7099,0.6942,0.7097,384.35,2023-03-21
2023-03-21,2023-03-21 14:30:00,0.702,0.715,0.7018,0.7144,689.1,2023-03-21
2023-03-22,2023-03-22 08:30:00,0.7,0.7189,0.68,0.6928,1185.29,2023-03-22
2023-03-22,2023-03-22 09:00:00,0.69,0.6928,0.6666,0.6799,2891.61,2023-03-22
2023-03-22,2023-03-22 09:30:00,0.674,0.6791,0.6532,0.656,3053.99,2023-03-22
2023-03-22,2023-03-22 10:00:00,0.6551,0.6747,0.6551,0.6747,657.92,2023-03-22
2023-03-22,2023-03-22 10:30:00,0.675,0.6798,0.6701,0.675,596.86,2023-03-22
2023-03-22,2023-03-22 11:00:00,0.675,0.675,0.668,0.67,452.91,2023-03-22
2023-03-22,2023-03-22 11:30:00,0.6711,0.6711,0.655,0.6586,1106.15,2023-03-22
2023-03-22,2023-03-22 12:00:00,0.6605,0.67,0.6552,0.6628,744.03,2023-03-22
2023-03-22,2023-03-22 12:30:00,0.6638,0.67,0.655,0.6575,1031.16,2023-03-22
2023-03-22,2023-03-22 13:00:00,0.6575,0.6693,0.655,0.656,1678.77,2023-03-22
2023-03-22,2023-03-22 13:30:00,0.6638,0.6798,0.658,0.6784,744.68,2023-03-22
2023-03-22,2023-03-22 14:00:00,0.6698,0.6733,0.66,0.6648,364.9,2023-03-22
2023-03-22,2023-03-22 14:30:00,0.6624,0.6649,0.6411,0.6433,2141.87,2023-03-22
2023-03-23,2023-03-23 08:30:00,0.67,0.67,0.6512,0.6591,972.48,2023-03-23
2023-03-23,2023-03-23 09:00:00,0.6555,0.66,0.6513,0.66,350.96,2023-03-23
2023-03-23,2023-03-23 09:30:00,0.6599,0.6752,0.6513,0.6746,755.5,2023-03-23
2023-03-23,2023-03-23 10:00:00,0.67,0.72,0.6651,0.7199,3157.86,2023-03-23
2023-03-23,2023-03-23 10:30:00,0.7199,0.72,0.68,0.695,1586.94,2023-03-23
2023-03-23,2023-03-23 11:00:00,0.6924,0.6948,0.68,0.681,118.73,2023-03-23
2023-03-23,2023-03-23 11:30:00,0.69,0.69,0.681,0.6896,123.16,2023-03-23
2023-03-23,2023-03-23 12:00:00,0.6899,0.6899,0.6823,0.6823,171.55,2023-03-23
2023-03-23,2023-03-23 12:30:00,0.6899,0.6899,0.6736,0.6745,839.47,2023-03-23
2023-03-23,2023-03-23 13:00:00,0.6745,0.6797,0.66,0.6698,450.61,2023-03-23
2023-03-23,2023-03-23 13:30:00,0.6697,0.6698,0.6551,0.66,489.76,2023-03-23
2023-03-23,2023-03-23 14:00:00,0.6689,0.67,0.66,0.66,190.6,2023-03-23
2023-03-23,2023-03-23 14:30:00,0.6601,0.6698,0.65,0.651,860.43,2023-03-23
2023-03-24,2023-03-24 08:30:00,0.669,0.67,0.64,0.6415,1503.12,2023-03-24
2023-03-24,2023-03-24 09:00:00,0.6506,0.6597,0.63,0.64,1405.64,2023-03-24
2023-03-24,2023-03-24 09:30:00,0.6397,0.6499,0.6323,0.637,1673.59,2023-03-24
2023-03-24,2023-03-24 10:00:00,0.6399,0.6467,0.6341,0.6454,367.75,2023-03-24
2023-03-24,2023-03-24 10:30:00,0.6449,0.65,0.64,0.64,976.29,2023-03-24
2023-03-24,2023-03-24 11:00:00,0.648,0.6499,0.64,0.64,197.08,2023-03-24
2023-03-24,2023-03-24 11:30:00,0.64,0.649,0.632,0.6368,1147.3,2023-03-24
2023-03-24,2023-03-24 12:00:00,0.6322,0.6389,0.63,0.635,404.7,2023-03-24
2023-03-24,2023-03-24 12:30:00,0.635,0.6399,0.63,0.63,620.31,2023-03-24
2023-03-24,2023-03-24 13:00:00,0.6366,0.64,0.63,0.631,183.93,2023-03-24
2023-03-24,2023-03-24 13:30:00,0.6341,0.64,0.62,0.626,1525.9,2023-03-24
2023-03-24,2023-03-24 14:00:00,0.6336,0.6339,0.626,0.626,242.26,2023-03-24
2023-03-24,2023-03-24 14:30:00,0.6297,0.6495,0.625,0.6494,1041.67,2023-03-24
2023-03-27,2023-03-27 08:30:00,0.6561,0.6699,0.63,0.63,1660.22,2023-03-27
2023-03-27,2023-03-27 09:00:00,0.6251,0.6383,0.6102,0.6245,1506.61,2023-03-27
2023-03-27,2023-03-27 09:30:00,0.625,0.63,0.6203,0.6297,224.31,2023-03-27
2023-03-27,2023-03-27 10:00:00,0.6299,0.63,0.62,0.6201,271.43,2023-03-27
2023-03-27,2023-03-27 10:30:00,0.6284,0.6299,0.6202,0.6207,419.4,2023-03-27
2023-03-27,2023-03-27 11:00:00,0.6205,0.6288,0.62,0.62,186.73,2023-03-27
2023-03-27,2023-03-27 11:30:00,0.6201,0.6288,0.615,0.6201,509.85,2023-03-27
2023-03-27,2023-03-27 12:00:00,0.6201,0.625,0.61,0.61,910.18,2023-03-27
2023-03-27,2023-03-27 12:30:00,0.612,0.6194,0.61,0.61,279.9,2023-03-27
2023-03-27,2023-03-27 13:00:00,0.61,0.6193,0.61,0.6101,277.92,2023-03-27
2023-03-27,2023-03-27 13:30:00,0.6182,0.6299,0.6111,0.6177,548.9,2023-03-27
2023-03-27,2023-03-27 14:00:00,0.618,0.63,0.618,0.6299,623.09,2023-03-27
2023-03-27,2023-03-27 14:30:00,0.6241,0.6297,0.615,0.6238,185.43,2023-03-27
2023-03-28,2023-03-28 08:30:00,0.64,0.64,0.6159,0.63,699.39,2023-03-28
2023-03-28,2023-03-28 09:00:00,0.6259,0.635,0.621,0.6215,746.8,2023-03-28
2023-03-28,2023-03-28 09:30:00,0.635,0.635,0.62,0.6201,561.86,2023-03-28
2023-03-28,2023-03-28 10:00:00,0.63,0.6346,0.62,0.6206,439.45,2023-03-28
2023-03-28,2023-03-28 10:30:00,0.6207,0.6299,0.62,0.6299,376.99,2023-03-28
2023-03-28,2023-03-28 11:00:00,0.6288,0.6418,0.6206,0.635,1836.94,2023-03-28
2023-03-28,2023-03-28 11:30:00,0.6342,0.64,0.63,0.6349,978.38,2023-03-28
2023-03-28,2023-03-28 12:00:00,0.635,0.635,0.6206,0.6231,862.49,2023-03-28
2023-03-28,2023-03-28 12:30:00,0.6232,0.63,0.62,0.62,934.27,2023-03-28
2023-03-28,2023-03-28 13:00:00,0.62,0.63,0.62,0.625,543.56,2023-03-28
2023-03-28,2023-03-28 13:30:00,0.625,0.63,0.6199,0.63,641.5,2023-03-28
2023-03-28,2023-03-28 14:00:00,0.6299,0.63,0.62,0.6287,213.55,2023-03-28
2023-03-28,2023-03-28 14:30:00,0.6299,0.63,0.62,0.6211,430.43,2023-03-28
2023-03-29,2023-03-29 08:30:00,0.6319,0.6377,0.618,0.622,1134.89,2023-03-29
2023-03-29,2023-03-29 09:00:00,0.6275,0.6275,0.618,0.62,731.96,2023-03-29
2023-03-29,2023-03-29 09:30:00,0.6247,0.63,0.6202,0.6245,296.4,2023-03-29
2023-03-29,2023-03-29 10:00:00,0.6249,0.63,0.621,0.6299,223.39,2023-03-29
2023-03-29,2023-03-29 10:30:00,0.6255,0.64,0.621,0.6399,465.48,2023-03-29
2023-03-29,2023-03-29 11:00:00,0.64,0.64,0.627,0.6301,727.64,2023-03-29
2023-03-29,2023-03-29 11:30:00,0.6351,0.64,0.626,0.6348,420.53,2023-03-29
2023-03-29,2023-03-29 12:00:00,0.6339,0.648,0.6301,0.647,1433.9,2023-03-29
2023-03-29,2023-03-29 12:30:00,0.6351,0.648,0.63,0.64,733.28,2023-03-29
2023-03-29,2023-03-29 13:00:00,0.6449,0.6449,0.6309,0.638,117.99,2023-03-29
2023-03-29,2023-03-29 13:30:00,0.6399,0.64,0.632,0.637,191.38,2023-03-29
2023-03-29,2023-03-29 14:00:00,0.6369,0.64,0.6319,0.64,350.9,2023-03-29
2023-03-29,2023-03-29 14:30:00,0.64,0.6561,0.6313,0.6375,1258.3,2023-03-29
2023-03-30,2023-03-30 08:30:00,0.6699,0.6699,0.642,0.6499,748.79,2023-03-30
2023-03-30,2023-03-30 09:00:00,0.6499,0.6599,0.6402,0.6549,494.75,2023-03-30
2023-03-30,2023-03-30 09:30:00,0.6542,0.6542,0.63,0.63,625.34,2023-03-30
2023-03-30,2023-03-30 10:00:00,0.63,0.64,0.62,0.625,700.06,2023-03-30
